time,flow
0,0
0.5,0.051666667
1,0.103333333
1.5,0.155
2,0.206666667
2.5,0.258333333
3,0.31
3.5,0.361666667
4,0.413333333
4.5,0.465
5,0.516666667
5.5,0.568333333
6,0.62
6.5,0.671666667
7,0.723333333
7.5,0.775
8,0.826666667
8.5,0.878333333
9,0.93
9.5,0.981666667
10,1.033333333
10.5,1.085
11,1.136666667
11.5,1.188333333
12,1.24
12.5,1.291666667
13,1.343333333
13.5,1.395
14,1.446666667
14.5,1.498333333
15,1.55
15.5,1.601666667
16,1.653333333
16.5,1.705
17,1.756666667
17.5,1.808333333
18,1.86
18.5,1.911666667
19,1.963333333
19.5,2.015
20,2.066666667
20.5,2.118333333
21,2.17
21.5,2.221666667
22,2.273333333
22.5,2.325
23,2.376666667
23.5,2.428333333
24,2.48
24.5,2.531666667
25,2.583333333
25.5,2.635
26,2.686666667
26.5,2.738333333
27,2.79
27.5,2.841666667
28,2.893333333
28.5,2.945
29,2.996666667
29.5,3.048333333
30,3.1
30.5,3.1
31,3.1
31.5,3.1
32,3.1
32.5,3.1
33,3.1
33.5,3.1
34,3.1
34.5,3.1
35,3.1
35.5,3.1
36,3.1
36.5,3.1
37,3.1
37.5,3.1
38,3.1
38.5,3.1
39,3.1
39.5,3.1
40,3.1
40.5,3.1
41,3.1
41.5,3.1
42,3.1
42.5,3.1
43,3.1
43.5,3.1
44,3.1
44.5,3.1
45,3.1
45.5,3.1
46,3.1
46.5,3.1
47,3.1
47.5,3.1
48,3.1
48.5,3.1
49,3.1
49.5,3.1
50,3.1
50.5,3.1
51,3.1
51.5,3.1
52,3.1
52.5,3.1
53,3.1
53.5,3.1
54,3.1
54.5,3.1
55,3.1
55.5,3.1
56,3.1
56.5,3.1
57,3.1
57.5,3.1
58,3.1
58.5,3.1
59,3.1
59.5,3.1
60,3.1
60.5,3.094399993
61,3.088799987
61.5,3.08319998
62,3.077599974
62.5,3.071999967
63,3.066399961
63.5,3.060799954
64,3.055199947
64.5,3.049599941
65,3.043999934
65.5,3.038399928
66,3.032799921
66.5,3.027199914
67,3.021599908
67.5,3.015999901
68,3.010399895
68.5,3.004799888
69,2.999199882
69.5,2.993599875
70,2.987999868
70.5,2.982399862
71,2.976799855
71.5,2.971199849
72,2.965599842
72.5,2.959999836
73,2.954399829
73.5,2.948799822
74,2.943199816
74.5,2.937599809
75,2.931999803
75.5,2.926399796
76,2.920799789
76.5,2.915199783
77,2.909599776
77.5,2.90399977
78,2.898399763
78.5,2.892799757
79,2.88719975
79.5,2.881599743
80,2.875999737
80.5,2.87039973
81,2.864799724
81.5,2.859199717
82,2.85359971
82.5,2.847999704
83,2.842399697
83.5,2.836799691
84,2.831199684
84.5,2.825599678
85,2.819999671
85.5,2.814399664
86,2.808799658
86.5,2.803199651
87,2.797599645
87.5,2.791999638
88,2.786399632
88.5,2.780799625
89,2.775199618
89.5,2.769599612
90,2.763999605
90.5,2.747549608
91,2.731099612
91.5,2.714649615
92,2.698199618
92.5,2.681749622
93,2.665299625
93.5,2.648849628
94,2.632399632
94.5,2.615949635
95,2.599499638
95.5,2.583049641
96,2.566599645
96.5,2.550149648
97,2.533699651
97.5,2.517249655
98,2.500799658
98.5,2.484349661
99,2.467899664
99.5,2.451449668
100,2.434999671
100.5,2.418549674
101,2.402099678
101.5,2.385649681
102,2.369199684
102.5,2.352749687
103,2.336299691
103.5,2.319849694
104,2.303399697
104.5,2.286949701
105,2.270499704
105.5,2.254049707
106,2.23759971
106.5,2.221149714
107,2.204699717
107.5,2.18824972
108,2.171799724
108.5,2.155349727
109,2.13889973
109.5,2.122449734
110,2.105999737
110.5,2.08954974
111,2.073099743
111.5,2.056649747
112,2.04019975
112.5,2.023749753
113,2.007299757
113.5,1.99084976
114,1.974399763
114.5,1.957949766
115,1.94149977
115.5,1.925049773
116,1.908599776
116.5,1.89214978
117,1.875699783
117.5,1.859249786
118,1.842799789
118.5,1.826349793
119,1.809899796
119.5,1.793449799
120,1.776999803
120.5,1.763049806
121,1.749099809
121.5,1.735149812
122,1.721199816
122.5,1.707249819
123,1.693299822
123.5,1.679349826
124,1.665399829
124.5,1.651449832
125,1.637499836
125.5,1.623549839
126,1.609599842
126.5,1.595649845
127,1.581699849
127.5,1.567749852
128,1.553799855
128.5,1.539849859
129,1.525899862
129.5,1.511949865
130,1.497999868
130.5,1.484049872
131,1.470099875
131.5,1.456149878
132,1.442199882
132.5,1.428249885
133,1.414299888
133.5,1.400349891
134,1.386399895
134.5,1.372449898
135,1.358499901
135.5,1.344549905
136,1.330599908
136.5,1.316649911
137,1.302699914
137.5,1.288749918
138,1.274799921
138.5,1.260849924
139,1.246899928
139.5,1.232949931
140,1.218999934
140.5,1.205049937
141,1.191099941
141.5,1.177149944
142,1.163199947
142.5,1.149249951
143,1.135299954
143.5,1.121349957
144,1.107399961
144.5,1.093449964
145,1.079499967
145.5,1.06554997
146,1.051599974
146.5,1.037649977
147,1.02369998
147.5,1.009749984
148,0.995799987
148.5,0.98184999
149,0.967899993
149.5,0.953949997
150,0.94
150.5,0.94
151,0.94
151.5,0.94
152,0.94
152.5,0.94
153,0.94
153.5,0.94
154,0.94
154.5,0.94
155,0.94
155.5,0.94
156,0.94
156.5,0.94
